NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Emeif Lenira Jurema Magalhães;;;R. Teófilo Gurgel, 109 - Monte Castelo, Fortaleza - CE, 60325-250;;;Ensino Médio
Instituto Federal de Educação, Ciência e Tecnologia do Ceará | Campus Fortaleza;;;Av. Treze de Maio, 2081 - Benfica, Fortaleza - CE, 60040-531;;;Ensino Médio
CEFOR - Centro Educacional de Fortaleza;;;R. Tibúrcio Cavalcante, 1958 - Aldeota, Fortaleza - CE, 60125-045;;;Ensino Médio
Supletivo J Oliveira - Sede Centro;;;Avenida Imperador, 195 - Centro, Fortaleza - CE, 60015-051;;;Ensino Médio
Escola Aida Santos E Silva;;;R. Dr. Antônio Carneiro - Vicente Pinzon, Fortaleza - CE, 60182-120;;;Ensino Médio
Colégio joão pessoa;;;Av. Antônio Sales, 3510 - Dionísio Torres, Fortaleza - CE, 60192-165;;;Ensino Médio
Colégio da Polícia Militar do Ceará;;;Av. Mister Hull, 3835 - Antônio Bezerra, Fortaleza - CE, 60356-001;;;Ensino Médio
Escola de Ensino Fundamental e Medio Michelson Nob;;;R. Duarte Pimentel, 3037 - Serrinha, Fortaleza - CE, 60742-150;;;Ensino Médio
Escola Infantil e Fundamental Semear;;;R. Carvalho Mota, 216 - Parque Araxá, Fortaleza - CE, 60450-630;;;Ensino Médio
Escola Brilhar do Amanhã;;;R. Henrique Rabêlo, 1377 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60110-540;;;Ensino Médio
Mackenzie Polo Fortaleza;;;R. José Vilar, 3000 - Dionísio Torres, Fortaleza - CE, 60125-001;;;Ensino Médio
Colégio Equipe;;;R. Barão do Rio Branco, 1684 - Centro, Fortaleza - CE, 60025-060;;;Ensino Médio
Colegio pensado;;;Av. Zezé Diogo, 1283 - Vicente Pinzon, Fortaleza - CE, 60182-025;;;Ensino Médio
Escola de Ensino Fundamental Almerinda de Albuquerque;;;R. Ana Gonçalves - São João do Tauape, Fortaleza - CE, 60130-490;;;Ensino Médio
Escola Criança Arte Viva;;;Rua Padre Frota, 509 - Monte Castelo, Fortaleza - CE, 60325-160;;;Ensino Médio
Escola Municipal Haroldo Jorge Braun Vieira;;;Av. Lauro Viêira Chaves, 51 - Aeroporto, Fortaleza - CE, 60420-280;;;Ensino Médio
ESCOLA MARIA ALICE;;;R. Ramos Botelho - Papicu, Fortaleza - CE, 60175-275;;;Ensino Médio
EEFM Prof Ma. Gonçalves;;;Centro, Fortaleza - CE, 60050-040;;;Ensino Médio
Escola de Ensino Fundamental Conselheiro José Batista de Oliveira;;;R. Goiás - Panamericano, Fortaleza - CE, 60430-232;;;Ensino Médio
Superintendência das Escolas Estaduais de Fortaleza - SEFOR;3.2;10 comentários;Av. Gen. Afonso Albuquerque Lima, s/n - Cambeba, Fortaleza - CE;Repartição pública em Fortaleza, Ceará;;Ensino Médio
Prof. Aurelio Cassiano;5.0;2 comentários;Rua Bárbara de Alencar, 310 - Centro, Fortaleza - CE, 60140-000;Consultor educacional em Fortaleza, Ceará;;Ensino Médio
ACADEMIA ENEM;;;R. Ildefonso Albano, 2050 - Meireles, Fortaleza - CE, 60140-025;;;Ensino Médio
